p1,p2,count
Qiao Mao,Yuan Shao,1
Kuai Liang,Kuai Yue,1
Cai Mao,Yuan Shao,1
Kuai Yue,Yuan Shao,1
Cai Mao,Huang Gai,1
Han Dang,Liu Biao,1
Huang Gai,Liu Biao,1
Gongsun Zan,Xin Ping,1
Han Fu,Xin Ping,1
Xin Ping,Yuan Shao,1
Han Fu,Ju Shou,1
Han Fu,Tian Feng,1
Han Fu,Xu You,1
Han Fu,Zhang Miao,1
Ju Shou,Tian Feng,1
Ju Shou,Xu You,1
Ju Shou,Yuan Shao,1
Ju Shou,Zhang Miao,1
Tian Feng,Xu You,1
Tian Feng,Zhang Miao,1
Xu You,Yuan Shao,1
Xu You,Zhang Miao,1
Yuan Shao,Zhang Miao,1
Qu Yi,Zhao Zilong,1
Qu Yi,Tian Feng,1
Yan Liang,Zhao Zilong,1
Guan Yu,Yuan Shao,1
Gongsun Zan,Li Ru,1
Gongsun Zan,Ma Midi,1
Gongsun Zan,Zhao Qi,1
Liu Bei,Ma Midi,1
Liu Bei,Zhao Qi,1
Ma Midi,Yuan Shao,1
Ma Midi,Zhao Qi,1
Yuan Shao,Zhao Qi,1
Liu Biao,Yuan Shu,1
Huang Zu,Kuai Liang,1
Sun Ce,Sun Jing,1
Sun Ce,Sun Kuang,1
Sun Ce,Sun Lang,1
Sun Ce,Sun Quan,1
Sun Ce,Sun Yi,1
Sun Jian,Sun Kuang,1
Sun Jian,Sun Lang,1
Sun Jian,Sun Quan,1
Sun Jian,Sun Yi,1
Sun Jing,Sun Kuang,1
Sun Jing,Sun Lang,1
Sun Jing,Sun Quan,1
Sun Jing,Sun Yi,1
Sun Kuang,Sun Lang,1
Sun Kuang,Sun Quan,1
Sun Kuang,Sun Yi,1
Sun Lang,Sun Quan,1
Sun Lang,Sun Yi,1
Sun Quan,Sun Yi,1
Dong Zhuo,Sun Jing,1
Han Dang,Huang Zu,1
Huang Gai,Sun Ce,1
Huang Zu,Sun Ce,1
Cai Mao,Cheng Pu,1
Cai Mao,Huang Zu,1
Huang Zu,Kuai Yue,1
Cheng Pu,Sun Ce,1
Liu Biao,Sun Ce,1
Diao Chan,Li Ru,1
Lu Bu,The Emperor,1
Ding Yuan,Prime Minister,1
Li Ru,Li Su,1
Li Ru,Wang Yun,1
Fan Chou,Huangfu Song,1
Fan Chou,Li Su,1
Guo Si,Huangfu Song,1
Guo Si,Li Su,1
Huangfu Song,Li Jue,1
Huangfu Song,Li Su,1
Huangfu Song,Lu Bu,1
Huangfu Song,Wang Yun,1
Huangfu Song,Zhang Ji,1
Li Jue,Li Su,1
Li Su,Zhang Ji,1
Diao Chan,Dong Min,1
Cai Yong,Ma Midi,1
Dong Zhuo,Jia Xu,1
Li Su,Niu Fu,1
Lu Bu,Yuan Shu,1
Wang Yun,Yuan Shu,1
The Emperor,Wang Yun,1
